Index,Token ID,Token Text,Attention Mask
908,760, |,1
909,21487, Carbon,1
910,760, |,1
911,220, ,1
912,21,6,1
913,760, |,1
914,27853, tet,1
915,32507,rah,1
916,35520,edral,1
917,65670, clockwise,1
918,760, |,1
919,220, ,1
920,19,4,1
921,760, |,1
922,220, ,1
923,15,0,1
924,760, |,1
925,220, ,1
926,16,1,1
927,760, |,1
928,220, ,1
929,15,0,1
930,760, |,1
931,9256, SP,1
932,18,3,1
933,760, |,1
934,3557, False,1
935,760, |,1
936,3557, False,1
937,9248," |
",1
938,91,|,1
939,220, ,1
940,16,1,1
941,22,7,1
942,760, |,1
943,19124, atom,1
944,760, |,1
945,21487, Carbon,1
946,760, |,1
947,220, ,1
948,21,6,1
949,760, |,1
950,54311, unspecified,1
951,760, |,1
952,220, ,1
953,19,4,1
954,760, |,1
955,220, ,1
956,15,0,1
957,760, |,1
958,220, ,1
959,18,3,1
960,760, |,1
961,220, ,1
962,15,0,1
963,760, |,1
964,9256, SP,1
965,18,3,1
966,760, |,1
967,3557, False,1
968,760, |,1
969,3557, False,1
970,9248," |
",1
971,91,|,1
972,220, ,1
973,16,1,1
974,23,8,1
975,760, |,1
976,19124, atom,1
977,760, |,1
978,21487, Carbon,1
979,760, |,1
980,220, ,1
981,21,6,1
982,760, |,1
983,54311, unspecified,1
984,760, |,1
985,220, ,1
986,19,4,1
987,760, |,1
988,220, ,1
989,15,0,1
990,760, |,1
991,220, ,1
992,18,3,1
993,760, |,1
994,220, ,1
995,15,0,1
996,760, |,1
997,9256, SP,1
998,18,3,1
999,760, |,1
1000,3557, False,1
1001,760, |,1
1002,3557, False,1
1003,9248," |
",1
1004,91,|,1
1005,220, ,1
1006,16,1,1
1007,24,9,1
1008,760, |,1
1009,19124, atom,1
1010,760, |,1
1011,21487, Carbon,1
1012,760, |,1
1013,220, ,1
1014,21,6,1
1015,760, |,1
1016,54311, unspecified,1
1017,760, |,1
1018,220, ,1
1019,18,3,1
1020,760, |,1
1021,220, ,1
1022,15,0,1
1023,760, |,1
1024,220, ,1
1025,16,1,1
1026,760, |,1
1027,220, ,1
1028,15,0,1
1029,760, |,1
1030,9256, SP,1
1031,17,2,1
1032,760, |,1
1033,3007, True,1
1034,760, |,1
1035,3007, True,1
1036,9248," |
",1
1037,91,|,1
1038,220, ,1
1039,17,2,1
1040,15,0,1
1041,760, |,1
1042,19124, atom,1
1043,760, |,1
1044,21487, Carbon,1
1045,760, |,1
1046,220, ,1
1047,21,6,1
1048,760, |,1
1049,54311, unspecified,1
1050,760, |,1
1051,220, ,1
1052,19,4,1
1053,760, |,1
1054,220, ,1
1055,15,0,1
1056,760, |,1
1057,220, ,1
1058,15,0,1
1059,760, |,1
1060,220, ,1
1061,15,0,1
1062,760, |,1
1063,9256, SP,1
1064,18,3,1
1065,760, |,1
1066,3557, False,1
1067,760, |,1
1068,3007, True,1
1069,9248," |
",1
1070,91,|,1
1071,220, ,1
1072,17,2,1
1073,16,1,1
1074,760, |,1
1075,19124, atom,1
1076,760, |,1
1077,21487, Carbon,1
1078,760, |,1
1079,220, ,1
1080,21,6,1
1081,760, |,1
1082,54311, unspecified,1
1083,760, |,1
1084,220, ,1
1085,18,3,1
1086,760, |,1
1087,220, ,1
1088,15,0,1
1089,760, |,1
1090,220, ,1
1091,16,1,1
1092,760, |,1
1093,220, ,1
1094,15,0,1
1095,760, |,1
1096,9256, SP,1
1097,17,2,1
1098,760, |,1
1099,3007, True,1
1100,760, |,1
1101,3007, True,1
1102,9248," |
",1
1103,91,|,1
1104,220, ,1
1105,17,2,1
1106,17,2,1
1107,760, |,1
1108,19124, atom,1
1109,760, |,1
1110,21487, Carbon,1
1111,760, |,1
1112,220, ,1
1113,21,6,1
1114,760, |,1
1115,27853, tet,1
1116,32507,rah,1
1117,35520,edral,1
1118,65670, clockwise,1
1119,760, |,1
1120,220, ,1
1121,19,4,1
1122,760, |,1
1123,220, ,1
1124,15,0,1
1125,760, |,1
1126,220, ,1
1127,16,1,1
1128,760, |,1
1129,220, ,1
1130,15,0,1
1131,760, |,1
1132,9256, SP,1
1133,18,3,1
1134,760, |,1
1135,3557, False,1
1136,760, |,1
1137,3007, True,1
1138,9248," |
",1
1139,91,|,1
1140,220, ,1
1141,17,2,1
1142,18,3,1
1143,760, |,1
1144,19124, atom,1
1145,760, |,1
1146,49516, Nit,1
1147,25188,rogen,1
1148,760, |,1
1149,220, ,1
1150,22,7,1
1151,760, |,1
1152,54311, unspecified,1
1153,760, |,1
1154,220, ,1
1155,18,3,1
1156,760, |,1
1157,220, ,1
1158,15,0,1
1159,760, |,1
1160,220, ,1
1161,17,2,1
1162,760, |,1
1163,220, ,1
1164,15,0,1
1165,760, |,1
1166,9256, SP,1
1167,17,2,1
1168,760, |,1
1169,3557, False,1
1170,760, |,1
1171,3557, False,1
1172,9248," |
",1
1173,91,|,1
1174,220, ,1
1175,17,2,1
1176,19,4,1
1177,760, |,1
1178,19124, atom,1
1179,760, |,1
1180,21487, Carbon,1
1181,760, |,1
1182,220, ,1
1183,21,6,1
1184,760, |,1
1185,54311, unspecified,1
1186,760, |,1
1187,220, ,1
1188,18,3,1
1189,760, |,1
1190,220, ,1
1191,15,0,1
1192,760, |,1
1193,220, ,1
1194,16,1,1
1195,760, |,1
1196,220, ,1
1197,15,0,1
1198,760, |,1
1199,9256, SP,1
1200,17,2,1
1201,760, |,1
1202,3007, True,1
1203,760, |,1
1204,3007, True,1
1205,9248," |
",1
1206,91,|,1
1207,220, ,1
1208,17,2,1
1209,20,5,1
1210,760, |,1
1211,19124, atom,1
1212,760, |,1
1213,21487, Carbon,1
1214,760, |,1
1215,220, ,1
1216,21,6,1
1217,760, |,1
1218,54311, unspecified,1
1219,760, |,1
1220,220, ,1
1221,18,3,1
1222,760, |,1
1223,220, ,1
1224,15,0,1
1225,760, |,1
1226,220, ,1
1227,16,1,1
1228,760, |,1
1229,220, ,1
1230,15,0,1
1231,760, |,1
1232,9256, SP,1
1233,17,2,1
1234,760, |,1
1235,3007, True,1
1236,760, |,1
1237,3007, True,1
1238,9248," |
",1
1239,91,|,1
1240,220, ,1
1241,17,2,1
1242,21,6,1
1243,760, |,1
1244,19124, atom,1
1245,760, |,1
1246,21487, Carbon,1
1247,760, |,1
1248,220, ,1
1249,21,6,1
1250,760, |,1
1251,54311, unspecified,1
1252,760, |,1
1253,220, ,1
1254,19,4,1
1255,760, |,1
1256,220, ,1
1257,15,0,1
1258,760, |,1
1259,220, ,1
1260,17,2,1
1261,760, |,1
1262,220, ,1
1263,15,0,1
1264,760, |,1
1265,9256, SP,1
1266,18,3,1
1267,760, |,1
1268,3557, False,1
1269,760, |,1
1270,3557, False,1
1271,9248," |
",1
1272,91,|,1
1273,220, ,1
1274,17,2,1
1275,22,7,1
1276,760, |,1
1277,19124, atom,1
1278,760, |,1
1279,21487, Carbon,1
1280,760, |,1
1281,220, ,1
1282,21,6,1
1283,760, |,1
1284,54311, unspecified,1
1285,760, |,1
1286,220, ,1
1287,19,4,1
1288,760, |,1
1289,220, ,1
1290,15,0,1
1291,760, |,1
1292,220, ,1
1293,17,2,1
1294,760, |,1
1295,220, ,1
1296,15,0,1
1297,760, |,1
1298,9256, SP,1
1299,18,3,1
1300,760, |,1
1301,3557, False,1
1302,760, |,1
1303,3007, True,1
1304,9248," |
",1
1305,91,|,1
1306,220, ,1
1307,17,2,1
1308,23,8,1
1309,760, |,1
1310,19124, atom,1
1311,760, |,1
1312,21487, Carbon,1
1313,760, |,1
1314,220, ,1
1315,21,6,1
1316,760, |,1
1317,54311, unspecified,1
1318,760, |,1
1319,220, ,1
1320,18,3,1
1321,760, |,1
1322,220, ,1
1323,15,0,1
1324,760, |,1
1325,220, ,1
1326,16,1,1
1327,760, |,1
1328,220, ,1
1329,15,0,1
1330,760, |,1
1331,9256, SP,1
1332,17,2,1
1333,760, |,1
1334,3007, True,1
1335,760, |,1
1336,3007, True,1
1337,9248," |
",1
1338,91,|,1
1339,220, ,1
1340,17,2,1
1341,24,9,1
1342,760, |,1
1343,19124, atom,1
1344,760, |,1
1345,21487, Carbon,1
1346,760, |,1
1347,220, ,1
1348,21,6,1
1349,760, |,1
1350,54311, unspecified,1
1351,760, |,1
1352,220, ,1
1353,19,4,1
1354,760, |,1
1355,220, ,1
1356,15,0,1
1357,760, |,1
1358,220, ,1
1359,18,3,1
1360,760, |,1
1361,220, ,1
1362,15,0,1
1363,760, |,1
1364,9256, SP,1
1365,18,3,1
1366,760, |,1
1367,3557, False,1
1368,760, |,1
1369,3557, False,1
1370,9248," |
",1
1371,91,|,1
1372,220, ,1
1373,18,3,1
1374,15,0,1
1375,760, |,1
1376,19124, atom,1
1377,760, |,1
1378,86569, Oxygen,1
1379,760, |,1
1380,220, ,1
1381,23,8,1
1382,760, |,1
1383,54311, unspecified,1
1384,760, |,1
1385,220, ,1
1386,17,2,1
1387,760, |,1
1388,220, ,1
1389,15,0,1
1390,760, |,1
1391,220, ,1
1392,15,0,1
1393,760, |,1
1394,220, ,1
1395,15,0,1
1396,760, |,1
1397,9256, SP,1
1398,18,3,1
1399,760, |,1
1400,3557, False,1
1401,760, |,1
1402,3007, True,1
1403,9248," |
",1
1404,91,|,1
1405,220, ,1
1406,18,3,1
1407,16,1,1
1408,760, |,1
1409,19124, atom,1
1410,760, |,1
1411,49516, Nit,1
1412,25188,rogen,1
1413,760, |,1
1414,220, ,1
1415,22,7,1
1416,760, |,1
1417,54311, unspecified,1
1418,760, |,1
1419,220, ,1
1420,17,2,1
1421,760, |,1
1422,220, ,1
1423,15,0,1
1424,760, |,1
1425,220, ,1
1426,15,0,1
1427,760, |,1
1428,220, ,1
1429,15,0,1
1430,760, |,1
1431,9256, SP,1
1432,17,2,1
1433,760, |,1
1434,3007, True,1
1435,760, |,1
1436,3007, True,1
1437,35721," |

",1
1438,2,#,1
1439,10349, Edge,1
1440,6633, Table,1
1441,198,"
",1
1442,5809,(`,1
1443,66832, <->,1
1444,1565, `,1
1445,3363, means,1
1446,2030, und,1
1447,74612,irected,1
1448,323, and,1
1449,1565, `,1
1450,1464, ->,1
1451,1565, `,1
1452,3363, means,1
1453,15540, directed,1
1454,28175,".)
",1
1455,334,**,1
1456,11656,Edge,1
1457,6633, Table,1
1458,320, (,1
1459,1313,type,1
1460,284, =,1
1461,1565, `,1
1462,64239,bond,1
1463,7808,"`,",1
1464,30586, `<,1
1465,405,->,1
1466,63,`,1
1467,32295,)**,1
1468,510,":
",1
1469,91,|,1
1470,6821, edge,1
1471,760, |,1
1472,943, type,1
1473,760, |,1
1474,10815, bond,1
1475,1819,_type,1
1476,760, |,1
1477,10815, bond,1
1478,1261,_st,1
1479,64853,ereo,1
1480,760, |,1
1481,63280, conjug,1
1482,657,ated,1
1483,9248," |
",1
1484,91,|,1
1485,10944,:-,1
1486,91,|,1
1487,10944,:-,1
1488,91,|,1
1489,10944,:-,1
1490,91,|,1
1491,10944,:-,1
1492,91,|,1
1493,10944,:-,1
1494,7360,"|
",1
1495,91,|,1
1496,220, ,1
1497,15,0,1
1498,66832, <->,1
1499,220, ,1
1500,17,2,1
1501,21,6,1
1502,760, |,1
1503,10815, bond,1
1504,760, |,1
1505,66759, SINGLE,1
1506,760, |,1
1507,6857, none,1
1508,760, |,1
1509,3557, False,1
1510,9248," |
",1
1511,91,|,1
1512,220, ,1
1513,15,0,1
1514,66832, <->,1
1515,220, ,1
1516,16,1,1
1517,24,9,1
1518,760, |,1
1519,10815, bond,1
1520,760, |,1
1521,362, A,1
1522,3361,ROM,1
1523,46359,ATIC,1
1524,760, |,1
1525,6857, none,1
1526,760, |,1
1527,3007, True,1
1528,9248," |
",1
1529,91,|,1
1530,220, ,1
1531,15,0,1
1532,66832, <->,1
1533,220, ,1
1534,23,8,1
